index,net,cell,lon,lat,range,samples,distanze
95,99,6237896,12.605422,41.921659,1037,19,10013.9787173
96,99,6237895,12.598905,41.914604,670,23,9250.19150388
97,99,6267514,12.583758,41.910684,969,20,7921.27036662
147,99,18695714,12.559888,41.893186,218,17,5616.61002045
148,99,18716286,12.560467,41.891605,78,4,5656.9891457
149,99,50594049,12.557853,41.892516,4901,33,5443.99629814
150,99,18719326,12.559933,41.893141,201,11,5620.04455701
151,99,18716235,12.559786,41.892863,364,29,5606.14761637
152,99,18716236,12.55581,41.894846,534,3,5293.63207787
153,99,18716238,12.559314,41.894001,10,6,5575.19527427
154,99,18695716,12.559925,41.893621,40,4,5622.74037436
155,99,18695715,12.560143,41.892263,0,2,5632.61999625
193,99,21338974,12.512319,41.889962,8,3,1659.0338005
194,99,21300556,12.513217,41.891476,511,18,1739.40703679
195,99,21300553,12.512641,41.891042,584,11,1688.33914015
196,99,21341071,12.508501,41.887472,290,38,1375.14956008
197,99,18678071,12.5156,41.889501,417,3,1932.61779281
198,99,21341077,12.508702,41.888326,309,29,1374.09943623
199,99,21299778,12.508195,41.886608,284,18,1374.89219555
200,99,18678077,12.513737,41.888648,306,8,1784.62732536
201,99,21300559,12.513008,41.891417,625,14,1721.58485623
202,99,21299772,12.505864,41.887194,682,19,1170.89538933
203,99,21341074,12.508754,41.88669,315,38,1416.86912275
204,99,21299775,12.504461,41.886903,481,38,1070.24515621
205,99,18717434,12.509456,41.885988,134,9,1495.38317547
206,99,18678076,12.508767,41.886974,36,7,1409.62438744
207,99,21299776,12.504354,41.8875,171,28,1041.07789314
208,99,21299774,12.503939,41.8881,227,10,990.53178214
209,99,21341075,12.503394,41.889144,28,4,925.245910657
212,99,21306843,12.506178,41.902387,57,6,1777.87814955
215,99,18718575,12.515508,41.876989,643,15,2417.66030966
291,99,21338083,12.494251,41.91542,344,4,2808.74146803
292,99,21338089,12.493955,41.913251,629,5,2566.84492463
304,99,6265712,12.561682,41.95085,1349,87,8860.98372434
305,99,1022505,12.550219,41.951779,1056,19,8359.51520671
306,99,1024461,12.554333,41.945311,831,571,7997.65686815
307,99,1024464,12.554544,41.945515,372,52,8026.26010134
308,99,6233496,12.563784,41.947618,386,20,8708.93657867
309,99,6265715,12.559924,41.951955,1088,35,8861.67223761
